"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"2740",457705,"Andrew McCutchen","2740","100.00","0.256","0.174","0.297","0.430","0.336","0.342","0.253","153","598","85.4","19.1","2185","89.3","88.72","322","1265","1444","-0.6","6.12","106","150","113","144","303","318","293"
"2733",443558,"Nelson Cruz","2733","100.00","0.287","0.268","0.320","0.555","0.389","0.398","0.280","169","589","87.7","15.8","2196","88.6","87.75","378","1297","1409","-0.8","5.99","105","151","117","145","302","322","297"
"2728",456030,"Dustin Pedroia","2728","100.00","0.318","0.131","0.339","0.449","0.363","0.334","0.285","201","633","85.0","13.5","2219","89.1","88.40","143","1176","1551","-0.7","6.02","107","150","111","145","291","313","289"
"2722",474832,"Brandon Belt","2722","100.00","0.275","0.199","0.346","0.474","0.380","0.384","0.264","149","542","81.9","22.4","2220","89.1","88.71","325","1285","1413","-0.4","6.13","113","156","128","146","293","319","304"
"2715",592885,"Christian Yelich","2715","100.00","0.298","0.185","0.356","0.483","0.374","0.381","0.294","172","578","88.6","6.3","2157","88.4","87.82","267","1094","1603","-0.6","6.03","111","147","109","148","291","313","297"
"2709",605141,"Mookie Betts","2709","100.00","0.318","0.216","0.322","0.534","0.384","0.336","0.275","214","672","85.5","16.2","2214","88.4","87.70","159","1116","1586","-0.7","6.01","105","150","109","145","291","316","295"
"2700",516416,"Jean Segura","2700","100.00","0.319","0.181","0.353","0.499","0.374","0.334","0.270","203","637","83.8","13.6","2218","88.8","88.62","214","1255","1418","-0.2","6.04","108","149","102","147","300","315","289"
"2699",592178,"Kris Bryant","2699","100.00","0.292","0.262","0.332","0.554","0.402","0.383","0.262","176","603","84.0","20.9","2198","88.8","88.23","368","1309","1354","-0.6","6.08","105","151","115","144","299","320","299"
"2695",547989,"Jose Abreu","2695","100.00","0.293","0.175","0.327","0.468","0.356","0.354","0.282","183","624","84.9","14.9","2239","89.0","88.27","328","1377","1278","-0.7","6.05","106","149","115","145","301","320","291"
"2692",434158,"Curtis Granderson","2692","100.00","0.237","0.228","0.254","0.464","0.346","0.339","0.243","129","545","84.3","19.3","2201","88.9","88.25","216","978","1676","-0.7","6.08","115","154","117","148","292","315","297"
"2670",594809,"Adam Eaton","2670","100.00","0.284","0.144","0.329","0.428","0.346","0.325","0.261","176","619","82.7","12.4","2219","89.1","88.28","216","1243","1377","-0.8","6.02","106","145","94","143","279","310","293"
"2659",519203,"Anthony Rizzo","2659","100.00","0.291","0.251","0.308","0.542","0.397","0.368","0.266","170","585","84.7","20.3","2180","88.8","88.31","236","1189","1419","-0.5","6.10","113","157","124","149","295","319","303"
"2655",450314,"Ben Zobrist","2655","100.00","0.272","0.174","0.290","0.446","0.365","0.361","0.276","142","523","85.2","12.8","2162","89.1","88.70","121","934","1687","-0.4","6.11","112","147","109","148","292","314","297"
"2643",546318,"Odubel Herrera","2643","100.00","0.286","0.134","0.349","0.420","0.346","0.304","0.238","167","583","81.7","16.4","2182","89.1","88.29","304","1267","1317","-0.8","6.09","112","147","98","148","284","312","293"
"2642",621043,"Carlos Correa","2642","100.00","0.274","0.177","0.328","0.451","0.356","0.363","0.276","158","577","84.9","11.5","2200","88.2","87.65","286","1175","1443","-0.5","6.07","106","149","113","144","297","322","293"
"2628",455976,"Nick Markakis","2628","100.00","0.268","0.128","0.299","0.397","0.329","0.349","0.279","161","600","86.6","17.1","2213","89.5","88.91","137","1062","1526","-0.6","6.00","113","147","112","147","289","314","299"
"2623",444432,"Mark Trumbo","2623","100.00","0.256","0.277","0.278","0.533","0.361","0.371","0.267","157","613","86.7","20.5","2225","88.0","87.59","379","1293","1323","-0.4","5.97","108","151","118","145","304","324","294"
"2618",453568,"Charlie Blackmon","2618","100.00","0.324","0.228","0.350","0.552","0.398","0.355","0.287","187","578","83.4","17.9","2188","88.8","88.63","209","1221","1359","-0.2","6.02","115","148","101","150","295","322","303"
"2606",457708,"Justin Upton","2606","100.00","0.246","0.219","0.301","0.465","0.334","0.342","0.250","140","570","85.9","20.4","2222","89.3","88.83","353","1144","1444","-0.5","6.12","107","151","116","146","302","322","294"
"2606",543685,"Anthony Rendon","2606","100.00","0.270","0.180","0.304","0.450","0.347","0.348","0.263","153","567","85.9","21.7","2226","89.2","88.77","188","1109","1481","-0.4","6.05","108","150","112","145","298","314","292"
"2594",553993,"Eugenio Suarez","2594","100.00","0.248","0.163","0.304","0.411","0.320","0.307","0.232","140","565","82.3","18.2","2190","89.1","88.63","280","1126","1458","-0.5","6.05","108","149","112","143","297","313","286"
"2591",458731,"Brett Gardner","2591","100.00","0.261","0.101","0.310","0.362","0.320","0.304","0.242","143","547","82.3","12.6","2200","88.8","88.03","146","955","1617","-0.8","5.97","107","146","97","146","280","311","292"
"2587",543760,"Marcus Semien","2587","100.00","0.238","0.197","0.268","0.435","0.318","0.299","0.220","135","568","82.5","18.0","2198","87.8","87.39","279","1178","1400","-0.4","6.09","105","150","109","145","298","317","289"
